11603,8
11604,2
11610,2
11616,1
11622,3
11623,8
11628,2
11629,7
11635,6
11641,4
11642,5
11648,3
11654,1
11660,1
11661,8
11667,8
11673,2
11680,6
11686,2
11687,2
11692,1
11693,7
11699,8
11700,3
11705,3
11712,5
11718,3
11719,5
11724,1
11725,5
11731,5
11732,1
11737,6
11738,4
11744,11
11750,4
11751,6
11757,1
11763,8
11764,1
11769,3
11770,6
11776,8
11782,1
11783,6
11789,6
11795,5
11796,1
11801,4
11802,4
11808,7
11814,4
11815,3
11820,2
11821,7
11827,5
11828,2
11833,5
11834,1
11840,14
11846,3
11847,7
11852,3
11853,5
11859,8
11860,3
11865,1
11866,4
11872,3
11878,4
11879,3
11884,1
11885,7
11891,6
11897,3
11898,4
11904,8
11910,5
11911,4
11916,1
11917,7
11923,8
11929,5
11930,5
11936,8
11942,10
11943,2
11948,1
11949,9
11955,8
11961,2
11962,6
11968,7
11974,3
11975,3
11980,1
11981,9
11987,6
11993,1
12000,8
12006,4
12007,2
12012,3
12013,13
12019,3
12020,2
12025,3
12026,2
12032,6
12038,2
12039,2
12044,4
12045,2
12051,3
12052,1
12057,3
12064,7
12070,9
12071,5
12076,2
12077,3
12083,5
12089,3
12090,5
12096,8
12102,3
12103,1
12108,2
12109,8
12115,6
12116,1
12121,4
12122,5
12128,8
12134,3
12135,3
12140,2
12141,4
12147,4
12148,1
12154,3
12160,6
12166,4
12167,7
12173,4
12179,7
12180,1
12185,1
12186,3
12192,4
12198,2
12199,2
12205,5
12211,9
12212,3
12217,3
12218,5
12224,6
12230,9
12231,3
12237,3
12243,4
12244,1
12249,3
12250,2
12256,3
12262,4
12263,2
12268,1
12269,8
12275,4
12276,1
12281,5
12282,9
12288,6
12294,4
12295,3
12300,1
12301,8
12307,7
12308,2
12313,2
12314,8
12320,12
12326,7
12327,4
12332,1
12333,8
12339,7
12340,1
12345,2
12346,5
12352,5
12358,6
12359,4
12364,1
12365,6
12371,6
12372,1
12377,4
12378,7
12384,11
12390,4
12391,3
12396,2
12397,4
12403,7
12409,2
12410,3
12416,8
12422,1
12423,4
12428,1
12429,4
12435,4
12436,1
12441,1
12442,5
12448,9
12454,10
12455,4
12460,1
12461,3
12467,4
12468,2
12473,4
12474,4
12480,6
12486,5
12487,2
12493,8
12499,3
12500,1
12505,2
12506,6
12512,16
12518,4
12519,1
12524,2
12525,7
12531,8
12532,2
12537,3
12538,4
12544,10
12550,8
12551,3
12556,1
12557,9
12563,4
12564,1
12569,4
12570,4
12576,5
12582,2
12583,2
12588,4
12589,5
12595,6
12596,1
12601,3
12602,8
12608,10
12614,3
12615,3
12620,1
12621,5
12627,4
12633,3
12634,5
12640,4
12646,5
12647,1
12653,5
12659,5
12665,3
12666,3
12672,8
12678,7
12679,1
12684,2
12685,2
12691,7
12697,1
12698,2
12704,4
12710,5
12711,4
12716,1
12717,6
12723,5
12729,4
12730,2
12736,7
12742,8
12743,3
12748,4
12749,6
12755,11
12756,1
12761,2
12762,3
12768,10
12774,3
12775,2
12780,1
12781,4
12787,7
12793,6
12794,4
12800,11
12806,2
12807,1
12812,1
12813,3
12819,6
12825,4
12826,5
12832,10
12838,1
12839,4
12845,2
12851,10
12852,5
12857,2
12858,4
12864,8
12870,6
12871,4
12876,2
12877,12
12883,6
12884,2
12889,4
12890,8
12896,6
12902,3
12903,6
12908,3
12909,8
12915,4
12916,2
12921,2
12922,5
12928,5
12934,6
12935,2
12940,2
12941,5
12947,3
12953,5
12954,4
12960,8
12966,2
12967,2
12972,1
12973,8
12979,2
12980,2
12985,2
12986,5
12992,7
12998,9
12999,3
13004,3
13005,10
13011,4
13012,1
13017,3
13018,7
13024,12
13030,2
13031,4
13036,5
13037,11
13043,9
13044,1
13049,6
